제품명,주성분,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?,이 약은 어떻게 보관해야 합니까?
알바콤정(알벤다졸),알벤다졸,이 약은 회충|요충|십이지장충|편충|아메리카구충|분선충의감염및이들혼합감염의치료에사용합니다.,성인및24개월이상의소아는요충에1일1회1정(400mg)을복용합니다.박멸을위하여7일뒤|한번만더1정(400mg)을복용합니다.회충|십이지장충|편충|아메리카구충에1회1정(400mg)을단회복용합니다.분선충의다른기생충(조충)과중증혼합감염시에1일1회1정(400mg)씩3일간복용합니다.삼키기어려울경우씹거나소량의물로복용할수있으며식사를중단하거나하제를쓰는등의특별한과정은필요하지않습니다.치료3주후검사를하여치료되지않았으면경우에따라2차투여를실시할수있습니다.,습기와빛을 피해 실온에서 보관하십시오
알바트정(알마게이트),알마게이트,이 약은 위·십이지장궤양|위염|위산과다|속쓰림|구역|구토|위통|신트림의제산작용및증상의개선에사용합니다.,만12세이상및성인은1회2정(1g)씩|1일3회식후30분~1시간에씹어서복용합니다.필요시취침전에1회더복용할수있습니다.,습기와빛을 피해 실온에서 보관하십시오
알벤다정(알벤다졸),알벤다졸,이 약은 회충|요충|십이지장충|편충|아메리카구충|분선충의감염및이들혼합감염의치료에사용합니다.,성인및24개월이상의소아는요충에1일1회1정(400mg)을복용합니다.박멸을위하여7일뒤|한번만더1정(400mg)을복용합니다.회충|십이지장충|편충|아메리카구충에1회1정(400mg)을단회복용합니다.분선충의다른기생충(조충)과중증혼합감염시에1일1회1정(400mg)씩3일간복용합니다.삼키기어려울경우씹거나소량의물로복용할수있으며식사를중단하거나하제를쓰는등의특별한과정은필요하지않습니다.치료3주후검사를하여치료되지않았으면경우에따라2차투여를실시할수있습니다.,습기와빛을 피해 실온에서 보관하십시오
알벤졸정(알벤다졸),알벤다졸,이 약은 회충|요충|십이지장충|편충|아메리카구충|분선충의감염및이들혼합감염의치료에사용합니다.,성인및24개월이상의소아는요충에감염된경우1일1회|1정(400mg)복용합니다.박멸을위하여7일뒤|한번만더1정(400mg)을복용합니다.회충|십이지장충|편충|아메리카구충에감염된경우1정(400mg)을단회(1회)복용합니다.분선충의다른기생충(조충)과중증(심한증상)혼합감염시1일1회1정(400mg)씩|3일간복용합니다.삼키기어려울경우씹거나소량의물로복용할수있으며식사를중단하거나하제를쓰는등의특별한과정은필요하지않습니다.치료3주후검사를하여치료되지않았으면경우에따라2차투여를실시할수있습니다.,습기와빛을 피해 실온에서 보관하십시오
알벤프리졸정(알벤다졸),알벤다졸,이 약은 회충|요충|십이지장충|편충|아메리카구충|분선충의감염및이들혼합감염의치료에사용합니다.,성인및24개월이상의소아는요충에감염된경우1일1회|1정(400mg)복용합니다.박멸을위하여7일뒤|한번만더1정(400mg)을복용합니다.회충|십이지장충|편충|아메리카구충에감염된경우1정(400mg)을단회(1회)복용합니다.분선충의다른기생충(조충)과중증(심한증상)혼합감염시1일1회1정(400mg)씩|3일간복용합니다.삼키기어려울경우씹거나소량의물로복용할수있으며식사를중단하거나하제를쓰는등의특별한과정은필요하지않습니다.치료3주후검사를하여치료되지않았으면경우에따라2차투여를실시할수있습니다.,습기와빛을 피해 실온에서 보관하십시오
알보제로액(폴리크레줄렌액50%),폴리크레줄렌액50%,이 약은 질세균감염|구내염및치육염(잇몸염)에사용합니다.,질세균감염에는 용액을적신거즈를질안에넣고가벼운압력으로해당부위를1~3분간누릅니다.3~4일간격으로두번사용하십시오.구내염및치육염에는 이약을적신면봉등을이용해여러번반복하여발라줍니다.,빛을 피해 실온에서 보관하십시오이약의적용시쓰이는기구등은사용한직후소독할때까지물(경우에따라1~2%탄산수소나트륨을첨가)을담은용기에보관하십시오.
알보젠알마게이트정,알마게이트,이 약은 위·십이지장궤양|위염|위산과다|속쓰림|구역|구토|위통|신트림의제산작용및증상의개선에사용합니다.,성인및12세이상의소아는1회2정(1g)을1일3회식후30분~1시간에씹어서복용합니다.필요시취침전에1회더복용할수있습니다.,습기와빛을 피해 실온에서 보관하십시오
알보칠콘센트레이트액(폴리크레줄렌),폴리크레줄렌액50%,이 약은 질세균감염|구내염및치육염(잇몸염)에사용합니다.,질세균감염에사용시용액을적신거즈를질안에넣고가벼운압력으로해당부위를1~3분간누릅니다.3~4일간격으로두번사용하십시오.구내염및치육염에사용시이약을적신면봉등을이용해여러번반복하여발라줍니다.,빛을 피해 실온에서 보관하십시오이약의적용시쓰이는기구등은사용한직후소독할때까지물(경우에따라1~2%탄산수소나트륨을첨가)을담은용기에보관하십시오.
알보칼디정,탄산칼슘95%과립|콜레칼시페롤농축분말,이 약은 임신·수유기|발육기|노년기의비타민D의보급에사용합니다.이 약은 함유된비타민등을통해뼈|이의발육불량|구루병의예방에사용합니다.,만8세이상어린이및성인은1회1정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알보큐액(폴리크레줄렌액50%),폴리크레줄렌액50%,이 약은 질세균감염|구내염및치육염에사용합니다.,질세균감염에는용액을적신거즈를질안에넣고가벼운압력으로해당부위를1~3분간눌러서사용하십시오.3~4일간격으로2회사용하고|증상이사라지지않으면의사와상의하십시오.구내염및치육염에는이약을적신면봉등을이용해여러번반복하여발라서사용하십시오.,이약의적용시쓰이는기구등은사용한직후소독할때까지물(경우에따라1~2%탄산수소나트륨을첨가)을담은용기에보관하십시오.습기와빛을 피해 실온에서 보관하십시오
알부골드연질캡슐,로얄젤리|토코페롤아세테이트|아스코르브산|티아민염산염|리보플라빈|피리독신염산염|시아노코발라민|니코틴산아미드,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|노년기의비타민B1|B2|B6|B12|C|E의보급과말초혈행장해|갱년기시어깨ㆍ목결림|수족저림|수족냉증(손발이차가움)신경통|근육통|관절통(요통|견통등)증상의완화와각기|눈의피로에사용합니다.,성인및8세이상어린이는1회1캡슐씩|1일3회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알부라민연질캡슐,로얄젤리|토코페롤아세테이트|아스코르브산|티아민염산염|리보플라빈|피리독신염산염|시아노코발라민|니코틴산아미드,이 약은 육체피로|임신∙수유기|병중∙병후(병을앓는동안이나회복후)의체력저하시|노년기의비타민E|B1|B2|B6|C의보급과말초혈행장애및갱년기시어깨·목결림|수족저림|수족냉증(손발이차가움)증상의완화에사용합니다.,만8세이상및성인은1회1캡슐씩|1일3회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알부론액(폴리말토오스수산화제이철착염),폴리말토오스수산화제이철착염,이 약은 철결핍성빈혈에사용합니다.,성인은1일1회1병(철로서100mg)|12세이상~19세미만소아는1회1/2병(철로서50mg)을1일2회|1세이상~12세미만소아는1회1/2병(철로서50mg)을1일1~2회 식전|식사중또는식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알부타민연질캡슐,로얄젤리|토코페롤아세테이트|아스코르브산|티아민염산염|리보플라빈|피리독신염산염|시아노코발라민|니코틴산아미드,이 약은 육체피로|임신∙수유기|병중∙병후의체력저하시|노년기의비타민B1|B2|B6|C|E의보급과말초혈행장애및갱년기시어깨ㆍ목결림|수족저림|수족냉증증상의완화에사용합니다.,성인은1회1캡슐씩|1일3회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알부테크연질캡슐,로얄젤리|토코페롤아세테이트|아스코르브산|티아민염산염|리보플라빈|니코틴산아미드|피리독신염산염|시아노코발라민,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|노년기의비타민B1|B2|B6|C|E의보급과말초혈행장애및갱년기시어깨·목결림|수족저림·수족냉증(손발이차가움)증상의완화에사용합니다.,만8세이상및성인은1회1캡슐씩|1일3회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알비정400mg(알벤다졸),알벤다졸,이 약은 회충|요충|십이지장충|편충|아메리카구충|분선충의감염및이들혼합감염의치료에사용합니다.,성인및24개월이상의소아는요충에1일1회1정(400mg)을복용합니다.박멸을위하여7일뒤|한번만더1정(400mg)을복용합니다.회충|십이지장충|편충|아메리카구충에1회1정(400mg)을단회복용합니다.분선충의다른기생충(조충)과중증혼합감염시에1일1회1정(400mg)씩3일간복용합니다.삼키기어려울경우씹거나소량의물로복용할수있으며식사를중단하거나하제를쓰는등의특별한과정은필요하지않습니다.치료3주후검사를하여치료되지않았으면경우에따라2차투여를실시할수있습니다.,습기와빛을 피해 실온에서 보관하십시오
알비코정,슈도에페드린염산염|트리프롤리딘염산염수화물,이 약은 코감기|알레르기및혈관운동성코염에의한재채기|콧물|코막힘|눈물의완화에사용합니다.,성인은1회1정|소아(12~14세)는1회1/2정을1일3회매식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알삭센정(나프록센나트륨),나프록센나트륨,이 약은 류마티양관절염|골관절염(퇴행성관절질환)|강직성척추염|건염(힘줄염)|급성통풍|월경곤란증과활액(윤활)낭염|골격근장애(염좌(삠)|좌상(타박상)|외상(상처)|요천통(허리통증))|수술후통증|편두통|발치(이를뽑음)후통증에사용합니다.,류마티양관절염|골관절염|강직성척추염에 성인은1회1~2정(275~550mg)|1일2회(12시간마다)복용합니다.급성통풍에는초회량(처음복용량)으로3정(825mg)복용하고발작이없어질때까지8시간간격으로1정(275mg)을복용합니다.골격근장애|수술후동통(통증)|발치(이를뽑음)후동통(통증)|월경곤란증|건염(힘줄염)|활액(윤활)낭염에는초회량(처음복용량)으로2정(550mg)을복용한후6~8시간간격으로1정(275mg)씩복용하고1일총용량이1|350 mg을초과하지않도록합니다.편두통에는초회량(처음복용량)으로3정(825mg)을복용하고필요하면1일1~2정(275~550mg)을더복용할수있으며초회량(처음복용량)의복용 30분후에복용하고1일총용량이1|350 mg을초과하지않도록합니다.연령(나이)|증상에따라적절히증감합니다.,상온에서 보관하십시오
알세진정10밀리그램(세티리진염산염),세티리진염산염,이 약은 계절성및다년성알레르기성비염|알레르기성결막염|만성특발성두드러기|피부가려움증과 하이드로코티손외용제와병용에의한습진|피부염에사용합니다.,성인및6세이상의소아는1일1회1정(10mg)을취침전에복용하고|이상반응에민감한환자의경우는 1/2정(5mg)씩을아침|저녁에분할복용합니다.연령|증상에따라적절히증감합니다.신장애환자의투여간격은환자의신기능에따라조절되어야하고|신장애를가진소아환자는환자의신청소율과체중을고려하여개별적으로용량을조절해야하므로자세한사항은허가사항을참고하십시오.,상온에서 보관하십시오
알소프트액,클로르헥시딘글루콘산염액|에탄올(95),이 약은 손의소독에사용합니다.,원액그대로손에도포하여사용합니다.,빛을 피해 실온에서 보관하십시오
알싹정(알벤다졸),알벤다졸,이 약은 회충|요충|십이지장충|편충|아메리카구충|분선충의감염및이들혼합감염의치료에사용합니다.,성인및24개월이상의소아는요충에1일1회1정(400mg)을복용합니다.박멸을위하여7일뒤|한번만더1정(400mg)을복용합니다.회충|십이지장충|편충|아메리카구충에1회1정(400mg)을단회복용합니다.분선충의다른기생충(조충)과중증혼합감염시에1일1회1정(400mg)씩3일간복용합니다.삼키기어려울경우씹거나소량의물로복용할수있으며식사를중단하거나하제를쓰는등의특별한과정은필요하지않습니다.치료3주후검사를하여치료되지않았으면경우에따라2차투여를실시할수있습니다.,습기와빛을 피해 실온에서 보관하십시오
알앤샷연질캡슐(세티리진염산염),세티리진염산염,이 약은 계절성및다년성알레르기성비염(코염)|알레르기성결막염|만성특발성(원인불명의)두드러기|피부소양증(가려움증)에사용합니다.,성인및6세이상의소아는1일1회1캡슐(10mg)을취침전에복용하고|이상반응에민감한환자의경우는1/2캡슐(5mg)씩을아침|저녁에분할복용합니다.연령|증상에따라적절히증감합니다.신장애환자의복용 간격은환자의신기능에따라조절되어야하고|신장애를가진소아환자는환자의신청소율과체중을고려하여개별적으로용량을조절해야하므로자세한사항은허가사항을참고하십시오.,상온에서 보관하십시오
알엠에스알기닌액(L아스파르트산L아르기닌수화물),L아스파르트산L아르기닌수화물,이 약은 정신적·신체적기능무력증상과회복기간(아미노산결핍상태)동안의보조요법에사용합니다.,만12세이상및성인은1회1포(5g)씩|1일1회복용합니다.아침에복용하는것이좋지만취침전에도복용가능합니다.적은양의물과함께복용할수있습니다.,습기와빛을 피해 실온에서 보관하십시오
알젠다졸정(알벤다졸),알벤다졸,이 약은 회충|요충|십이지장충|편충|아메리카구충|분선충의감염및이들혼합감염의치료에사용합니다.,성인및24개월이상의소아는요충에감염된경우1일1회|1정(400mg)복용합니다.박멸을위하여7일뒤|한번만더1정(400mg)을복용합니다.회충|십이지장충|편충|아메리카구충에감염된경우1정(400mg)을단회(1회)복용합니다.분선충의다른기생충(조충)과중증(심한증상)혼합감염시1일1회1정(400mg)씩|3일간복용합니다.삼키기어려울경우씹거나소량의물로복용할수있으며식사를중단하거나하제를쓰는등의특별한과정은필요하지않습니다.치료3주후검사를하여치료되지않았으면경우에따라2차투여를실시할수있습니다.,습기와빛을 피해 실온에서 보관하십시오
알졸타정400mg(알벤다졸),알벤다졸,이 약은 회충|요충|십이지장충|편충|아메리카구충|분선충의감염및이들혼합감염의치료에사용합니다.,성인및24개월이상의소아는요충에감염된경우1일1회|1정(400mg)복용합니다.박멸을위하여7일뒤|한번만더1정(400mg)을복용합니다.회충|십이지장충|편충|아메리카구충에감염된경우1정(400mg)을단회(1회)복용합니다.분선충의다른기생충(조충)과중증(심한증상)혼합감염시1일1회|1정(400mg)씩3일간복용합니다.삼키기어려울경우씹거나소량의물로복용할수있으며식사를중단하거나하제를쓰는등의특별한과정은필요하지않습니다.치료3주후검사를하여치료되지않았으면경우에따라2차투여를실시할수있습니다.,습기와빛을 피해 실온에서 보관하십시오
알지렉스정(세티리진염산염),세티리진염산염,이 약은 계절성및다년성알레르기성비염|알레르기성결막염|만성특발성두드러기|피부소양증과 하이드로코티손외용제와병용에의한습진|피부염에사용합니다.,성인및6세이상의소아는1일1회1정(10mg)을취침전에복용하고|이상반응에민감한환자의경우는1/2정(5mg)씩을아침|저녁에분할복용합니다.연령|증상에따라적절히증감합니다.신장애환자의투여간격은환자의신기능에따라조절되어야하고|신장애를가진소아환자는환자의신청소율과체중을고려하여개별적으로용량을조절해야하므로자세한사항은허가사항을참고하십시오.,상온에서 보관하십시오
알지엔스피드연질캡슐10밀리그램(세티리진염산염),세티리진염산염,이 약은 계절성및다년성알레르기성비염(코염)|알레르기성결막염|만성특발성(원인불명의)두드러기|피부소양증(가려움증)에사용합니다.,성인및6세이상의소아는1회1캡슐(10mg)씩|1일1회취침전에복용하고|이상반응에민감한환자의경우는1/2캡슐(5mg)씩| 아침|저녁에분할복용합니다(정제| 경구용액제에한합니다).연령|증상에따라적절히증감할수있습니다.기타자세한사항은허가사항상세정보를확인하십시오.,상온에서 보관하십시오
알지텍정(세티리진염산염),세티리진염산염,이 약은 계절성및다년성알레르기성비염|알레르기성결막염|만성특발성두드러기|피부소양증과 하이드로코티손외용제와병용에의한습진|피부염에사용합니다.,성인및6세이상의소아는1일1회1정(10mg)을취침전에복용하고|이상반응에민감한환자의경우는1/2정(5mg)씩을아침|저녁에분할복용합니다.연령|증상에따라적절히증감합니다.신장애환자의투여간격은환자의신기능에따라조절되어야하고|신장애를가진소아환자는환자의신청소율과체중을고려하여개별적으로용량을조절해야하므로자세한사항은허가사항을참고하십시오.,상온에서 보관하십시오
알진텍정(세티리진염산염),세티리진염산염,이 약은 계절성및다년성알레르기성비염|알레르기성결막염|만성특발성두드러기|피부가려움증|습진|피부염에사용합니다.,성인및6세이상의소아는1일1회10mg을취침전에복용합니다.이상반응에민감한환자의경우는5mg씩을아침|저녁에나누어복용합니다.연령|증상에따라적절히증감하며|신장애환자에대한권장용량은허가사항을참고하십시오.,상온에서 보관하십시오
알카본정,탄산칼슘|농축콜레칼시페롤,이 약은 임신ㆍ수유기|발육기|노년기의비타민D의보급과뼈|이의발육불량|구루병의예방에사용합니다.,만8세이상및성인은1회1정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알카본플러스정,탄산칼슘|농축콜레칼시페롤,이 약은 임신∙수유기|발육기|노년기의비타민D보급|뼈|이의발육불량|구루병의예방|칼슘결핍및기타칼슘보급에사용합니다.,성인및만8세이상어린이는1회1정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알카파워정,아스피린|시트르산|탄산수소나트륨,이 약은  두통|몸살|기타통증및이를수반하는가슴쓰림|위산과다성소화불량|위산과다에사용합니다.,성인및12세이상의소아는 1회2정을 필요시4시간간격으로물(약120mL)에완전히녹여서복용합니다. 1일최대8정을초과하여복용하지않습니다.60세이상의노인은 1회2정을필요시4시간간격으로물(약120mL)에완전히녹여서복용합니다. 1일최대4정을초과하여복용하지 않습니다.,습기와빛을 피해 실온에서 보관하십시오
알카펜네이잘연질캡슐(수출명:AlkafenNSoftCaps.|AlkafenCoughSoftCaps.),아세트아미노펜|덱스트로메토르판브롬화수소산염수화물|수도에페드린염산염|클로르페니라민말레산염|구아이페네신,이 약은 감기의여러증상(콧물|코막힘|재채기|인후통|기침|가래|오한|발열|두통|관절통|근육통)의완화에사용합니다.,성인은1회1캡슐씩|1일3회식후30분복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알코덱스액,베타인염산염|L아르기닌|베타인|시트르산수화물,이 약은 간질환의보조치료에사용합니다.,성인은1일10~30mL를식간에(식사때와식사때사이에)분할복용합니다.이약10mL를약반컵의물에희석(묽게함)하여복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알코타민정,푸르설티아민|폴산,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시비타민B1의보급과신경통|근육통|관절통(요통|어깨결림등)증상의완화|각기|눈의피로에사용합니다.,성인1회1정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알코펜연질캡슐(이부프로펜),이부프로펜,이 약은 감기로인한발열및동통(통증)|요통|생리통|류마티양관절염|연소성(어리거나젊은나이에나타나는)류마티양관절염|골관절염(퇴행성관절질환)|수술후동통(통증)과두통|편두통|치통|근육통|신경통|강직성척추염|급성통풍|건선(마른비닐증)성관절염|연조직손상(염좌(삠)|좌상(타박상))|비관절류마티스질환(건염(힘줄염)|건초염(힘줄윤활막염)|활액(윤활)낭염)에사용합니다.,성인은류마티양관절염|골관절염|강직성척추염|연조직손상|비관절류마티스질환|급성통풍|건선성관절염에는1회1~3캡슐(200~600mg)씩|1일3~4회|1일최고16캡슐(3|200mg)까지복용할수있으며|연소성(어리거나젊은나이에나타나는)류마티양관절염에는1일체중kg당30~40mg을3~4회분할복용|경증및중등도의동통이나감기에는성인1회1~2캡슐(200~400mg)씩|1일3~4회|편두통에는성인1회1~2캡슐(200~400mg)씩복용하며24시간동안2캡슐을초과하지않습니다.만12세이상청소년은1회1~2캡슐(200~400mg)씩| 1일3~4회복용합니다.체중이30kg미만인경우1일량이500mg을초과해서는안되며공복시복용은 피하는것이바람직합니다.,상온에서 보관하십시오
알콤정(플루벤다졸),플루벤다졸,이 약은 회충|요충|편충|십이지장충의감염및이들혼합감염의치료에사용합니다.,성인및소아는1정(500mg)을1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알킬정(알벤다졸),알벤다졸,이 약은 회충|요충|십이지장충|편충|아메리카구충|분선충의감염및이들혼합감염의치료에사용합니다.,성인및24개월이상의소아는요충에감염된경우1일1회1정(400mg)복용합니다.박멸을위하여7일뒤|한번만더1정(400mg)을복용합니다.회충|십이지장충|편충|아메리카구충에감염된경우1정(400mg)을단회(1회)복용합니다.분선충의다른기생충(조충)과중증(심한증상)혼합감염시1일1회1정(400mg)씩3일간복용합니다.삼키기어려울경우씹거나소량의물로복용할수있으며식사를중단하거나하제를쓰는등의특별한과정은필요하지않습니다.치료3주후검사를하여치료되지않았으면경우에따라2차투여를실시할수있습니다.,습기와빛을 피해 실온에서 보관하십시오
알티린정(세티리진염산염)(수출명:Vilex|Cetirin),세티리진염산염,이 약은 계절성및다년성알레르기성비염|알레르기성결막염|만성특발성두드러기|피부가려움증과 하이드로코티손외용제와병용에의한습진|피부염에사용합니다.,성인및6세이상의소아는1일1회1정(10mg)을취침전에복용하고|이상반응에민감한환자의경우는 1/2정(5mg)씩을아침|저녁에분할복용합니다.연령|증상에따라적절히증감합니다.신장애환자의투여간격은환자의신기능에따라조절되어야하고|신장애를가진소아환자는환자의신청소율과체중을고려하여개별적으로용량을조절해야하므로자세한사항은허가사항을참고하십시오.,상온에서 보관하십시오
알파디연질캡슐(알파칼시돌),알파칼시돌,이 약은 만성신부전|부갑상선기능저하증|비타민D저항성구루병·골연화증에있어서비타민D대사이상에수반되는증상(저칼슘혈증|테타니|뼈의통증|뼈의병변(변화)등)의개선과골다공증에사용합니다.,환자의혈청칼슘수치의충분한관리하에투여량을조절합니다.성인은만성신부전·골다공증의경우|1회1~2캡슐(0.5～1㎍)씩|1일1회경구투여(복용)합니다.부갑상선기능저하증·기타비타민D대사이상에따른질환의경우|1회2~8캡슐(1～4㎍)씩|1일1회경구투여(복용)합니다.어린이는골다공증의경우|1회체중kg당0.01～0.03㎍씩|1일1회경구투여(복용)합니다.기타질환의경우|1회체중kg당0.05～0.1㎍씩|1일1회경구투여(복용)합니다.,습기와빛을 피해 실온에서 보관하십시오
알파본연질캡슐(알파칼시돌)(수출명:아파본연질캡슐),알파칼시돌,이 약은 만성신부전|부갑상선기능저하증|비타민D저항성구루병·골연화증질환의비타민D대사이상에수반되는증상(저칼슘혈증|테타니|뼈의통증|뼈의병변(변화)등)의개선과골다공증에사용합니다.,성인은만성신부전·골다공증에1일1회1~2캡슐(0.5~1㎍)을복용하며부갑상선기능저하증|기타비타민D대사이상에따른질환에1일1회2~8캡슐(1~4㎍)을복용합니다.어린이는골다공증에1일1회체중kg당0.01~0.03㎍을복용하며기타질환에는1일1회체중kg당0.05~0.1㎍을복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알파시돌연질캡슐0.5마이크로그램(알파칼시돌),알파칼시돌,이 약은 만성신부전|부갑상선기능저하증|비타민D저항성구루병·골연화증질환의비타민D대사이상에수반되는증상(저칼슘혈증|테타니|뼈의통증|뼈의병변(변화)등)의개선과골다공증에사용합니다.,성인은만성신부전·골다공증에1일1회1~2캡슐(0.5~1㎍)을복용하며부갑상선기능저하증|기타비타민D대사이상에따른질환에1일1회2~8캡슐(1~4㎍)을복용합니다.어린이는골다공증에1일1회체중kg당0.01~0.03㎍을복용하며기타질환에는1일1회체중kg당0.05~0.1㎍을복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알파아세트아미노펜정500밀리그람,아세트아미노펜,이 약은 감기로인한발열및동통(통증)|두통|신경통|근육통|월경통|염좌통(삔통증)과치통|관절통|류마티양동통(통증)에사용합니다.,성인은1회300~1|000mg을1일3~4회복용합니다.1일최고8정(4|000mg)까지투여할수있습니다.연령|증상에따라적절히증감할수있습니다.,빛을피해 보관하십시오.
알파엠지정,산화마그네슘|리보플라빈|메코발라민|셀레늄함유건조효모|피리독신염산염|토코페롤아세테이트2배산|감마오리자놀,이 약은 육체피로|임신|수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|노년기의비타민(E|B2|B6)의보급과말초혈행장애및갱년기증상(어깨·목결림|수족저림·수족냉증(손발이차가움))|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염의완화에사용합니다.,만15세이상및성인은1일1회|1회1정복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알파우루사연질캡슐,우르소데옥시콜산|티아민질산염|리보플라빈,이 약은 만성간질환의간기능개선과간기능장애에의한육체피로|전신권태증상의개선에사용합니다.,성인은1회1캡슐1일3회복용합니다.,
알파칼연질캡슐(알파칼시돌),알파칼시돌,이 약은 만성신부전|부갑상선기능저하증|비타민D저항성구루병·골연화증질환의비타민D대사이상에수반되는증상(저칼슘혈증|테타니|뼈의통증|뼈의병변(변화)등)의개선과골다공증에사용합니다.,성인은만성신부전·골다공증에1일1회1~2캡슐(0.5~1㎍)을복용하며부갑상선기능저하증|기타비타민D대사이상에따른질환에1일1회2~8캡슐(1~4㎍)을복용합니다.어린이는골다공증에1일1회체중kg당0.01~0.03㎍을복용하며기타질환에는1일1회체중kg당0.05~0.1㎍을복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알파콜에프캡슐,아세트아미노펜|덱스트로메토르판브롬화수소산염수화물|dl메틸에페드린염산염|구아이페네신|클로르페니라민말레산염|카페인무수물,이 약은 감기의여러증상(콧물|코막힘|재채기|인후(목구멍)통|기침|가래|오한(춥고떨리는증상)|발열|두통|관절통|근육통)의완화에사용합니다.,만15세이상은1회2캡슐씩1일3회식후30분에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알파클로닉신리신정,클로닉신리시네이트,이 약은 근육통|신경통|외상후및수술후통증|두통|치통|귀통증의경증또는중등도통증의완화에사용합니다.,성인은1회1~2정(125∼250mg)|1일3회복용합니다.,상온에서 보관하십시오
알파파워정,레티놀아세테이트과립|푸르설티아민염산염|리보플라빈|니코틴산아미드|농축콜레칼시페롤|산화아연|산화마그네슘,이 약은 육체피로|임신․수유기|병중․병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민A|D|B1|B2의보급|눈의건조감완화|야맹증(밤에잘못보는증상)|뼈|이의발육불량|구루병의예방|각기|눈의피로|신경통|근육통|관절통(요통|어깨결림등)의완화|아연의보급에사용합니다.,만12세이상및성인은1회2정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알파플러스정,티아민질산염|리보플라빈|피리독신염산염|산화아연,이 약은 육체피로|임신·수유기|병중·병후의비타민B1|B2|B6의보급및 각기|눈의피로또는신경통|근육통|관절통(요통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화및아연의보급에사용합니다.,만12세이상및성인은1회1정씩|1일3회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알페딘정60밀리그램(펙소페나딘염산염),펙소페나딘염산염,이 약은 꽃가루알레르기또는기타상기도알레르기로인한콧물|재채기|눈의가려움및눈물|코또는목의가려움증증상의일시적완화에사용합니다.,성인및12세이상청소년은1회1정씩|12시간간격으로물과함께복용합니다.24시간이내에2정을초과하여복용하지마십시오.,상온에서 보관하십시오
알피렌연질캡슐,셀레늄함유건조효모|토코페롤아세테이트|레티놀팔미테이트|아스코르브산,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|노년기의비타민A|C|E의보급과눈의건조감의완화|야맹증(밤에잘못보는증상)|말초혈행장애및갱년기시어깨·목결림|수족저림·수족냉증(손발이차가움)증상의완화|햇빛·피부병등에의한색소침착(기미|주근깨)의완화|잇몸출혈·비출혈(코피)예방에사용합니다.,성인은1회1캡슐씩|1일1회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
알피린장용정(아스피린)(수출용),아스피린,이 약은 심근경색|뇌경색|불안정형협심증에서혈전생성억제와 관상동맥우회술(CABG)또는경피경관관상동맥성형술(PTCA)후혈전생성억제와고위험군환자(허혈성심장질환의가족력|고혈압|고콜레스테롤혈증|비만|당뇨등복합적위험인자를가진환자)에서심혈관계위험성감소에사용합니다.,성인은1회1정|1일1회복용합니다.이 약은 장용정이므로충분한물과함께식전에복용할수있습니다.,습기를피해상온에서 보관하십시오
암브렉트정(암브록솔염산염),암브록솔염산염,이 약은 점액분비장애로인한급·만성기관지염|천식성기관지염에사용합니다.,성인은1회1정(30mg)씩1일3회식사와관계없이복용합니다.계속치료시1회1정(30mg)씩1일2회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
