제품명,업체명,주성분,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?,이 약의 사용상 주의사항은 무엇입니까?,이 약을 사용하는 동안 주의해야 할 약 또는 음식은 무엇입니까?,이 약은 어떤 이상반응이 나타날 수 있습니까?,이 약은 어떻게 보관해야 합니까?
훼스탈플러스정,(주)한독,판크레아틴|셀룰라제|우르소데옥시콜산|시메티콘,이약은소화불량|식욕감퇴(식욕부진)|과식|체함|소화촉진|소화불량으로인한위부팽만감에사용합니다.,성인및15세이상은1회1~2정|만8세~만15세의소아는1회1정을1일3회식후에씹지말고복용합니다.,만7세이하의어린이는?이약을복용하지마십시오.이약을복용하기전에알레르기체질인환자|?임부또는임신하고있을가능성이있는여성은의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.2주정도복용하여도증상의개선이없을경우?복용을즉각중지하고의사또는약사와상의하십시오.,이약을복용하기전에다른약물을복용하고있는경우의사또는약사와상의하십시오.,-,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
치지렌정600밀리그램(디오스민),코오롱제약(주),디오스민,이약은정맥부전과관련된증상(다리중압감|통증)의개선|모세혈관취약증에의한장애의보조치료|치질과관련된징후의치료에사용합니다.,정맥부전에는1회1정씩|1일1회|치질에는1회1정씩|1일2~3회식사시복용합니다.,이약에과민증환자|수유부는이약을복용하지마십시오.이약을복용하기전에임부는의사또는약사와상의하십시오.장기간계속하여복용하지마십시오.이약을투약해도다른항문질환에대한특별한치료법이면제되지않습니다.증상이빨리나아지지않으면|항문검사를실시해야하며치료를재검토해야합니다.,-,소화장애가나타날수있습니다.,실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
삼성아모롤핀네일라카(아모롤핀염산염),삼성제약(주),아모롤핀염산염,이약은감염부위가조갑표면의80%이하인경우의피부사상균|효모균및곰팡이에의한조갑진균증(손발톱진균증)에사용합니다.,이약을바르기전에|감염된조갑(특히조갑(손발톱)표면)부위를첨부된줄을사용하여가능한한완전하게갈아낸다음첨부된패드로조갑(손발톱)표면을닦고기름기를제거하고|반드시남아있는라카는패드로닦아낸후첨부된재사용가능한스파툴라를사용하여감염된조갑표면전체에이약을주1~2회바르고건조시킵니다.감염된각조갑(손발톱)에바를때마다스파툴라를병안에담궈사용하고남은약을병입구에닦아내지않고|바른후스파툴라는조갑(손발톱)을닦기위해사용되는패드로깨끗이닦아내십시오.조갑(손발톱)이재생되고감염부위가완전히치유될때까지중단없이치료를계속한다.치료기간은감염의정도및감염부위에따라다르며보통일반적으로손톱의경우6개월|발톱의경우에는9~12개월입니다.,이약에과민증환자또는경험자|영ㆍ유아및소아|조갑주위의염증성변화가나타나는환자|혈액순환장애|영양실조|알코올중독환자|임부또는임신하고있을가능성이있는여성및수유부는이약을사용하지마십시오.감염된조갑에사용한줄을건강한사람의조갑에사용하지마십시오.이약은외용으로만사용하십시오.눈|코|입및다른점막에닿지않도록주의하십시오.매니큐어는이약을바른후적어도10분후에사용하고|약을다시바르기전에는매니큐어를충분히지우고난후약을바르십시오.유기용매(신나|휘발유등)를사용하는작업시에는조갑위에바른약을보호하기위해유기용매침투방지장갑을착용하십시오.이약사용중인조손톱의사용은피하십시오.,-,흔하지않게전신알레르기반응|드물게조갑이상|조갑변색|조갑파손|조갑종렬(손발톱세로갈림)|접촉성피부염|홍반|가려움|발진|수포가나타날수있습니다.,실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.이약을사용한직후에는마개를잘닫아보관하십시오.
엘카르닌정(L-카르니틴),(주)씨엠지제약,L-카르니틴,이약은1차성|2차성카르니틴결핍증과협심증|급성심근경색같은허혈성심질환에의한심근대사장애에사용합니다.,성인은1일2~3g을1일2~3회분할하여복용합니다.연령|증상에따라적절히증감할수있습니다.,이약에과민증환자는이약을복용하지마십시오.이약을복용하기전에임부또는임신하고있을가능성이있는여성및수유부는의사또는약사와상의하십시오.,-,일시적인구역|구토|복통|설사|체취|발진|두드러기|안면부종|경증의근무력증이나타날수있습니다.,실온에서보관하십시오.
다이톱현탁액(디옥타헤드랄스멕타이트),삼아제약(주),디옥타헤드랄스멕타이트,이약은성인의식도|위·십이지장과관련된통증의완화|성인의급·만성설사|24개월이상소아의급성설사에사용합니다.,성인은1회3g을1일3회복용합니다.급성설사시의초기3일은1일용량을2배로증량할수있습니다.식도염에는식후에|다른적응증에는식간에복용합니다.24개월이상의소아는3일동안1일6~9g을3회분할복용하고이후4일동안1일6g을3회분할복용합니다.,24개월미만소아|?임부또는임신하고있을가능성이있는여성및수유부는이약을복용하지마십시오.이약을복용하기전에이약에과민증환자|심한만성변비환자|장폐색(창자막힘)경험자는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오.탈수증이나타나는경우에는적절한수액공급을하십시오.,약은흡착성이있어타약물과함께복용할경우흡수율이나흡수시간에영향을미칠수있으므로간격을두고복용하는것이바람직합니다.,복부팽만감|구토|변비|두드러기|발진|가려움및혈관부종등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
셀마겐정(알마게이트),(주)메디카코리아,알마게이트,이약은위·십이지장궤양|위염|위산과다|속쓰림|구역|구토|위통|신트림의제산작용및증상의개선에사용합니다.,성인및12세이상의소아는1회2정(1g)씩|?1일3회식후30분~1시간에씹어서복용합니다.필요시취침전에1회더복용할수있습니다.,이약에과민증환자|?알츠하이머병|치질|체액저류(부기)|임신중독증|설사|진단되지않은소화기관출혈환자|갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는?이약을?복용하지마십시오.이약을복용하기전에?신장애|?신체허약자|인함량이낮은식이요법실시자|소화흡수장애가있는사람|?고령자|?혈액구토또는흑색대변등과같은소화기관출혈증상이있는환자|임부또는임신하고있을가능성이있는여성및수유부는?의사또는약사와상담하십시오.정해진용법과용량을잘지키십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오.2주정도복용하여도증상의개선이없을경우복용을즉각중지하고의사또는약사와상의하십시오.,이약을복용하는동안테트라사이클린계항생제는복용하지마십시오.이약을복용하기전에비스테로이드소염(항염)진통제|궤양치료제|디기탈리스제제|클로르프로마진|란소프라졸|프레드니솔론|페니실린|퀴놀론|철(Fe)염제제|살리실산염을복용하는환자는?의사또는약사와상의하십시오.,변비|설사?등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
자니큐정75mg(라니티딘염산염),조아제약(주),라니티딘염산염,이약은위산과다|속쓰림|신트림에사용합니다.,16세이상은1회1정(75mg)|1일2정(150mg)까지복용합니다.,이약에과민증환자는?이약을?복용하지마십시오.이약을복용하기전에?음식을삼키기어렵거나삼킬때통증이있는경우및토혈|?혈변|?속쓰림증상이3개월?이상지속되는경우|어지러움|식은땀또는현기증|짧은호흡과함께가슴또는어깨통증을동반하는경우|가슴통증이빈번히나타나는경우|예상치않은체중감소|오심|구토|위장관통증|?신장애|간장애|고령자|급성포르피린증|임부또는임신하고있을가능성이있는여성및수유부|만성폐질환|당뇨병|면역이약화된환자는의사또는약사와상의하십시오.이약은14일이상복용하지않습니다.,비스테로이드성소염진통제|쿠마린항응고제(예|와파린)|?트리아졸람|미다졸람|글리피지드|케토코나졸|아타자나비어|델라비르딘|게피티니브를복용하는환자는이약을복용하기전에의사또는약사와상담하십시오.알코올이함유된음료와복용하지마십시오.,아나필락시스쇽|두드러기|혈관신경부종|발진|발열|기관지경련|저혈압|흉통|과립구감소증|혈청크레아티닌치상승|백혈구감소증|혈소판감소증|골수형성저하증|골수무형성증|재생불량성빈혈|무과립구증|범혈구감소증|후천성면역용혈성빈혈|호산구증가증|간기능장애(AST|ALT|γ-GTP|ALP치의상승)|간염|서맥|방실블록|빈맥|혈관염|변비|구역|구토|복부팽만감|복통|식욕부진|설사|췌장염|어지러움|졸림|경련|두통|두중|불면|흥분|불안|가역적정신혼동|우울증|환각|흐린시력|불수의운동장애|의식장애|경련|간대성근경련|여성형유방|젖분비과다|가역적인발기부전|성욕감퇴|관절통|근육통|횡문근융해증(근육통|무력감|CK상승|혈중및요중미오글로빈의상승이특징)|피부발진|다형혼반|탈모증|설염|피부가려움|피부점막안증후군(스티븐스-존슨증후군)|독성표피괴사용해(리엘증후군)|재생불량성빈혈|방실차단등의심차단|급성간질성신염등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
로스테인캡슐(아세틸시스테인),(주)인트로바이오파마,아세틸시스테인,이약은급ㆍ만성기관지염|기관지천식|후두염|부비동염|낭성섬유증의질환에서?객담배출곤란에사용합니다.,급성질환에성인은1회1캡슐(200mg)씩|1일3회|6~14세는1회1캡슐(200mg)씩|1일2회식전에소량의물과함께복용합니다.만성질환에성인은1회1캡슐(200mg)씩|1일2회|6~14세는1회??1/2?캡슐(100mg)씩|1일3회식전에소량의물과함께복용합니다.낭성섬유증에6세이상은1회1캡슐(200mg)씩|1일3회식전에소량의물과함께복용합니다.,이약에과민증환자|?위?십이지장궤양|?2세미만영아|갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에?임부또는임신하고있을가능성이있는여성및수유부는의사또는약사와상담하십시오.,경구용항생제(아목시실린|세푸록심|독시사이클린|에리트로마이신|티암페니콜)와?함께복용시적어도2시간?간격을두고복용하십시오.,드물게구역|구토|구내염|가슴쓰림|설사|두드러기|가려움|발진|두통|이명|기관지경련(특히천식환자)|빈맥|고혈압등이나타나는경우?즉각복용을중지하고?의사또는약사와상담하십시오.,실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
무조날에스네일라카(시클로피록스),한미약품(주),시클로피록스,이약은조갑진균증(손|발톱무좀)에사용합니다.,손발을씻고건조시킨후취침전에하루에한번얇은막이형성되도록환부에바릅니다.손발톱전체와손발톱주위5mm의피부|가능하면손발톱끝의아래부분에바릅니다.30초정도건조시킨후적어도6시간동안은씻지않아야하므로취침전에바르도록합니다.이약은유기용매나긁어내지않고물로도충분히제거되므로만약의도치않게물에씻었다면이약을다시바릅니다.정기적으로자라난손발톱끝부분과환부는가위나손톱깎이등으로잘라줍니다.적용기간은건강한손발톱이자랄때까지지속해야하는데일반적으로|손톱의경우는대략6개월발톱의경우는9~12개월이예상됩니다.만약효과가없거나환부(질환부위)가광범위할경우의사와상담하십시오.남아있는활성성분이배양결과에영향을주는것을피하기위해배양검사는치료가끝난후4주후에합니다.특정연령층에대하여용량조절은필요하지않습니다.이약물에내약성이있거나한개이상의손발톱에서광범위한침투가있는경우추가적인경구치료를고려해보아야?합니다.,이약에과민증환자|?18세미만은이약을사용하지마십시오.임부또는임신하고있는가능성이있는여성및수유부|당뇨병|면역질환|말초동맥질환|부상을입거나통증이있거나혹은심각하게손상을입은손톱|건선과같은피부상태나다른만성피부상태|부종|황색손톱증후군환자|인슐린의존성당뇨병이나당뇨병성신경병증이력이있는환자는사용전에의사또는약사와상담하십시오.만약바르는것을잊어버렸을경우라도다음날두번바르지마십시오.가연성이므로열과직접적인화염의접촉을피해야합니다.,-,자극성접촉성피부염|매우드물게국소적으로홍반|비늘|작열감|가려움등이나타날수있습니다.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.냉장보관하지마십시오.사용한후병마개를잘닫아보관하고|개봉후6개월이상사용은피하십시오.
자멘쏙정(독시라민숙신산염),일양약품(주),독시라민숙신산염,이약은불면증보조치료및진정에사용합니다.,성인은독시라민숙신산염으로서1일1회1정(25mg)을반드시수면30분전에경구투여합니다.연령|증상에따라적절히증감합니다.,폐기종|만성기관지염천식등의호흡장애|녹내장|전립선비대환자|수유부|15세이하의소아|갈락토오스불내성|Lapp유당(젖당)분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에임부및임신을하고있을가능성이있는사람은의사또는약사와상의하십시오.의사또는약사와상의없이2주이상투여하지마십시오.과도한진정이나타날수있으므로운전및기계조작시주의하십시오.복용중에음주하지마십시오.,이미프라민계항우울약|항파킨슨제|디소피라미드와함께복용하지마십시오.복용중에는음주하지마십시오.,때때로항콜린작용이나타날수있습니다.,실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
아나파치정(디오스민),삼진제약(주),디오스민,이약은다리중압감|통증등정맥부전과관련된증상의개선|모세혈관취약증에의한장애의보조치료|치질과관련된징후의치료에사용합니다.,정맥부전용과치질용이있습니다.정맥부전에는디오스민으로서1회600mg|1일1회를식사시복용합니다.치질에는디오스민으로서1회600mg|1일2~3회(1|200~1|800mg)를식사시복용합니다.,이약에과민증환자|수유부는이약을복용하지마십시오.이약을복용하기전에임부는의사또는약사와상의하십시오.,-,소화장애가나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,어린이의손이닿지않는곳에보관하십시오.
이소프트캡슐,코스맥스파마(주),아스코르브산|리소짐염산염|토코페롤아세테이트2배산|카르바조크롬,이약은치주치료후치은염|경·중등도치주염의보조치료에사용합니다.,성인은1회1캡슐|1일3회식후에복용합니다.,15세미만소아|갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에약및화장품에?알레르기증상(발진|발적|가려움등)경험자|달걀에알레르기증상(발열|발진|관절통|천식|가려움등)경험자|알레르기체질인사람|황색5호에과민증환자또는경험자는?의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.,이약을복용하기전에다른약물을복용하고있는경우의사또는약사와상의하십시오.,발진|발적|설사|식욕부진|위부불쾌감|구역|구토|구내염|피부점막안증후군(스티븐스-존슨증후군)또는독성표피괴사용해(리엘증후군)의증상(예:발열|홍반|가려움|안충혈|구내염등의증상|전신의피부|입과목의점막에고열을동반하는발진·발적|화상모양의수종등의중증의증상)등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
자이날정(나프록센나트륨),고려제약(주),나프록센나트륨,이약은류마티양관절염|골관절염(퇴행성관절질환)|강직성척추염|건염(힘줄염)|급성통풍|월경곤란증과활액낭염|골격근장애(염좌(삠)|좌상(타박상)|외상(상처)|요천통(허리통증))|수술후동통(통증)|편두통|발치(이를뽑음)후동통(통증)에사용합니다.,류마티양관절염|골관절염|강직성척추염에는1회275-550mg씩|1일2회(12시간마다)경구투여(복용)하십시오.급성통풍에는초회량(처음복용량)으로825mg씩|경구투여(복용)하고|발작이소실(없어짐)될때까지8시간간격으로275mg씩|경구투여(복용)하십시오.골격근장애|수술후동통(통증)|발치(이를뽑음)후동통(통증)|월경곤란증|건염(힘줄염)|활액낭염에는초회(처음복용량)량으로550mg씩|경구투여(복용)한후6-8시간간격으로275mg씩투여하며1일총용량이1|350mg을초과하지않도록하십시오.편두통에는초회(처음복용량)량으로825mg을경구투여(복용)하며|필요하면1일275-550mg씩|더투여할수있으며초회(처음복용량)량의투여30분후에투여하십시오.1일총용량이1|350mg을초과하지않도록하십시오.연령|증상에따라적절히증감할수있습니다.,이약에과민증환자|심한혈액이상|심한간장애|심한심기능부전|심한신장애(신장장애)|심한고혈압|아스피린이나다른비스테로이드성소염(항염)진통제에알레르기반응(천식|비염(코염)|코의용종|두드러기)경험자|관상동맥(심장동맥)우회로술(CABG)전후에발생하는통증환자|임부|수유부|2세이하의영아(갓난아기)|갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에임신하고있을가능성이있는부인|소아|고령자(노인)|소화성궤양경험자|혈액이상경험자|출혈경향|간장애또는그경험자|신장애(신장장애)또는경험자및신혈류량이저하|심기능장애|고혈압|과민증경험자|기관지천식|전신성홍반성루푸스(SLE)및혼합결합조직질환(MCTD)환자는의사또는약사와상의하십시오.이약은17-케토제닉스테로이드의측정에영향을주므로측정72시간전에이약의투여를중지하십시오.급성질환에사용하는경우에는급성염증|동통(통증)및발열의정도를고려하여투여하십시오.,다른비스테로이드성소염(항염)진통제(NSAIDs)및나프록센유도체|항암요법으로사용하는고용량의메토트렉세이트와함께복용하지마십시오.히단토인계항뇌전증제|설파제|설포닐요소계혈당강하제|프로프라놀롤및다른&beta;-차단제|ACE저해제(억제제)(캅토프릴등)|루프계이뇨제및치아짓계이뇨제|프로베네시드|아스피린|리튬|쿠마린계항응혈제(와파린등)|지도부딘|뉴퀴놀론계항생물질(에녹사신수화물등)|저용량의메토트렉세이트와?함께복용시의사또는약사와상의하십시오.,과민증|소화기계|혈액|간장|신장(콩팥)|정신신경계|피부|감각기계이상반응|과도한체온강하|허탈|사지냉각|빈혈|탈락성피부염|피부점막안증후군(스티븐스-존슨증후군)및독성표피괴사용해(리엘증후군)|호산구증가및전신증상동반약물반응|고정약물발진?등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.기타자세한사항은허가사항상세정보를확인하십시오.,어린이의손이닿지않는곳에보관하십시오.실온에서보관하십시오.
내바렌큐액,부광약품(주),클로트리마졸|크로타미톤|리도카인|l-멘톨,이약은무좀|완선(사타구니백선)|체부백선에사용합니다.?,1일2~3회적당량환부에바릅니다.?,만2세이하의젖먹이|눈또는눈주위|점막(입안|코안|질)|음부|외음부|습진|습기참|짓무름|갈라짐또는상처가심한질환부위에는이약을사용하지마십시오.이약을사용하기전에알레르기체질|알레르기증상(발진·충혈되어붉어짐|가려움|옻등에의한피부염등)경험자|질환부위가얼굴또는광범위하거나곪은환자|유아는의사또는약사와상의하십시오.이약은외용으로만사용하고내복또는흡입하지마십시오.눈에들어가지않도록주의하고|만일눈에들어간경우에는즉시물로씻어내십시오.질환부위와그주위를깨끗이한후사용하십시오.사용전에충분히흔들어주십시오.정해진용법과용량을잘지키십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오.,-,발진|충혈되어붉어짐|가려움|옻등에의한피부염|부종(부기)|자극감등이나타나는경우사용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오
아세락캅셀200밀리그람(아세틸시스테인),동성제약(주),아세틸시스테인,이약은급ㆍ만성기관지염|기관지천식|후두염|부비동염|낭성섬유증의질환에서?객담배출곤란에사용합니다.,급성질환에성인은1회1캡슐(200mg)씩|1일3회|6~14세는1회1캡슐(200mg)씩|1일2회식전에소량의물과함께복용합니다.만성질환에성인은1회1캡슐(200mg)씩|1일2회|6~14세는1회??1/2?캡슐(100mg)씩|1일3회식전에소량의물과함께복용합니다.낭성섬유증에6세이상은1회1캡슐(200mg)씩|1일3회식전에소량의물과함께복용합니다.,이약에과민증환자|?위?십이지장궤양|?2세미만영아|갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에?임부또는임신하고있을가능성이있는여성및수유부는의사또는약사와상담하십시오.,경구용항생제(아목시실린|세푸록심|독시사이클린|에리트로마이신|티암페니콜)와?함께복용시적어도2시간?간격을두고복용하십시오.,드물게구역|구토|구내염|가슴쓰림|설사|두드러기|가려움|발진|두통|이명|기관지경련(특히천식환자)|빈맥|고혈압등이나타나는경우?즉각복용을중지하고?의사또는약사와상담하십시오.,실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
장이락산(바실루스리케니포르미스균),광동제약(주),바실루스리케니포르미스균,이약은급ㆍ만성장염|급ㆍ만성설사|급성이질|각종원인에기인한장내이상발효에사용합니다.,성인은1회2g씩|1일3회복용하고|첫회에는4g을복용합니다.유소아는1회1g씩|1일3회복용합니다.,갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에3개월미만의영아는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.1개월정도복용하여도증상의개선이없을경우복용을즉각중지하고의사또는약사와상의하십시오.,시프로플록사신|이미페넴|실라스타틴나트륨과함께복용시의사또는약사와상의하십시오.,-,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
메가트루골드정,(주)유한양행,β-카로틴20%과립|농축콜레칼시페롤산|토코페롤아세테이트2배산|벤포티아민|리보플라빈|피리독신염산염|시아노코발라민100배산|아스코르브산과립97%|판토텐산칼슘|니코틴산아미드|d-비오틴1%|폴산|인산수소칼슘수화물|산화마그네슘|황산망간수화물|몰리브덴함유건조효모|셀레늄함유건조효모|산화아연|이노시톨|콜린타르타르산염|우르소데옥시콜산|콘드로이틴설페이트나트륨,이약은육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민A|D|E|B1|B2|B6|C의보급과눈의건조감의완화|야맹증(밤에잘못보는증상)|뼈|이의발육불량|구루병의예방|신경통|근육통|관절통(허리통|어깨결림등)의완화|각기|눈의피로|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염의완화와아연의보급에사용합니다.,만12세이상및성인은1회1정씩|1일1~2회복용합니다.,고칼슘혈증|유육종증|신장질환|이약에과민증환자|만12개월미만의젖먹이|신장결석|심한증상의신부전환자는이약을복용하지마십시오.이약을복용하기전에고옥살산뇨증|임부및임신하고있을가능성이있는여성|수유부|미숙아|유아|소화성궤양|만성궤양성대장염|국한성대장염등의위장질환|심장ㆍ순환기계기능장애|신장장애|저단백혈증|담낭관련질환|간질환|담낭폐쇄|구리부족증|통풍환자|신장결석또는경험자|폴산이부족한환자는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.이약에함유된비타민A는정상적인식이에서충분히공급되므로보조요법의용량은1일5|000IU이상을넘지않도록하십시오.요를황색으로변하게하여임상검사치에영향을주거나요검사시에혈당의검출을방해할수있습니다.,인산염|칼슘염|경구용테트라사이클린계제제|제산제|레보도파와함께복용하지마십시오.강심배당체|에스트로겐을포함한경구(먹는)용피임제|항알도스테론제|트리암테렌과함께복용시의사또는약사와상의하십시오.녹차|홍차등탄닌을함유하는차는복용중|복용전후에는피하십시오.,구역|구토|가려움|건조하고거친피부|통증성관절부종(부기)|설사|위부불쾌감|변비|발진|발적(충혈되어붉어짐)|묽은변|저혈압|얼굴달아오름|심박동불규칙|피부발진|붉은반점|부전수축(심장박동정지)|중추신경계기능저하|고요산혈증|피부염|땀ㆍ호흡시악취|탈모|조급증|위장관장애|소화장애|상복부(배부분)통증|폐부종|생리가예정보다빨라지거나양이점점많아지거나출혈이오래지속되는등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
액티브메가비타정,경방신약(주),벤포티아민|리보플라빈부티레이트|니코틴산아미드|판토텐산칼슘|피리독살포스페이트수화물|히드록소코발라민아세트산염|비오틴|폴산|콜린타르타르산염|이노시톨|아스코르브산|토코페롤아세테이트2배산|농축콜레칼시페롤(분말형)|셀레늄함유건조효모|산화마그네슘|산화아연|유비데카레논|감마-오리자놀|우르소데옥시콜산,이약은육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민D|E|B1|B2|B6|C의보급|뼈|이의발육불량|구루병의예방|각기|눈의피로|신경통|근육통|관절통(요통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염의완화|아연의보급에사용합니다.,만8세이상및성인은1회1정씩|1일1회복용합니다.,이약에과민증환자|고칼슘혈증(혈액중에칼슘이과잉으로존재하는상태)환자|유육종증(원인을알수없는전신염증질환)|신장결석|심한증상의신부전환자|만12개월미만의젖먹이|갈락토오스불내성|Lapp유당(젖당)분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에고옥살산뇨증환자(요중에과량의수산염이배설되는상태)|임부및임신하고있을가능성이있는여성|수유부|미숙아|유아|소화성궤양|만성궤양성대장염|국한성대장염등의위장질환|심장·순환기계기능장애|신장장애|저단백혈증환자|통풍?또는신장결석이있는환자|신장결석환자또는경험자는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.각종요검사시에혈당의검출을방해할수있으며|요를황색으로변하게하여임상검사치에영향을줄수있습니다.1개월정도복용하여도증상의개선이없을경우복용을즉각중지하고의사또는약사와상의하십시오.?,인산염|칼슘염|경구용테트라사이클린계제제|에스트로겐을포함한경구용피임제|제산제|레보도파와함께복용하지마십시오.항알도스테론제|트리암테렌과함께복용시의사또는약사와상의하십시오.녹차|홍차등탄닌을함유하는차는복용중|복용전후에는피하십시오.,구역|구토|설사|위부불쾌감|변비|발진|발적|묽은변|식욕부진|복부팽만감|붉은반점|부전수축(심장박동정지)|중추신경계기능저하|피부염|땀·호흡시악취|탈모|조급증|위장관장애|소화장애|상복부통증|저혈압|폐부종(부기)|생리가예정보다빨라지거나양이많아지거나출혈이오래지속되는증상등이나타나는경우|폴산이부족한환자의경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
디카테오정,(주)다림바이오텍,시트르산칼슘|농축콜레칼시페롤과립,이약은임신·수유기|발육기|노년기의?비타민D의보급과뼈|이의발육불량|구루병의예방과칼슘결핍및기타칼슘의보급에사용합니다.,만8세이상어린이및성인은1회1정|1일1회복용합니다.,이약에과민증환자|?만12개월미만의젖먹이|고칼슘혈증(혈액중에칼슘이과잉으로존재하는상태)|유육종증(원인을알수없는전신염증질환)|신장질환|신장결석|심한증상의신부전환자는이약을복용하지마십시오.이약을복용하기전에?만1세미만의젖먹이|햇빛을많이보고정상적인식사를하는어린이|임부또는임신하고있을가능성이있는여성및수유부|미숙아|유아|?심장ㆍ순환기계기능장애|저단백혈증환자는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오.,인산염|?칼슘염|경구용?테트라사이클린계제제|?제산제와함께복용하지마십시오.강심배당체|항알도스테론제|트리암테렌과함께복용시의사또는약사와상의하십시오.녹차|홍차등탄닌을함유하는차는복용중|복용전후에는피하십시오.,구역|구토|설사|변비|저혈압|얼굴달아오름|심박동불규칙|피부발진등이?나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
